,Unnamed: 0,INDUSTRY_GROUP,INDUSTRY,SECTOR,CURRENCY,DEFAULT_PROB,NBR_EMPLOYEES,EMPL_GROWTH,PCT_WOMEN_EMPLOYEES,PCT_WOMEN_MGT,WHISTLE_BLOWER_POLICY,ETHICS_POLICY,BRIBERY_POLICY,COUNTRY,COUNTRY_RISK_GROWTH_RATE,COUNTRY_RISK_DIVIDEND_YIELD,COUNTRY_RISK_PAYOUT_RATIO,VOLATILITY_30D,VOLATILITY_180D,PCT_CHG_1_YEAR,PCT_CHG_6_M,DIVIDEND_YIELD,MARKETCAP,TOTAL_ASSETS,TOTAL_LIABILITIES,CURRENT_ASSETS,EBIT,RETAINED_EARNINGS,SALES,SALES_GROWTH,INTEREST_EXPENSES,anomaly_score
0,1,Materials,Chemicals,Materials,EDM,0.611767547215458,113830.0,1.24071685862943,24.600000381469698,19.7999992370605,Y,Y,Y,DE,7.823563,2.388852,40.318647,17.25691,15.711670000000002,8.618774,20.75915,3.06685749335514,89707814042.98,76496.0,43928.0,25946.0,6426.0,31515.0,57550.0,-18.309699215035,661.0,0.08437835658908688
1,2,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Information Technology,EDM,0.728918525239486,36962.0,1.8264965977024201,37.2999992370605,,Y,Y,Y,DE,7.823563,2.388852,40.318647,24.167089999999998,24.320220000000003,54.07048,36.859140000000004,0.8668242663826129,28817402318.64,9945.0,4309.0,4871.0,983.0,-1404.0,7063.0,9.11478448941758,63.0,0.11483256440584766
2,3,"Food, Beverage & Tobacco",Tobacco,Consumer Staples,GBP,0.7247983364320709,85335.0,-2.56003288534661,22.0,16.0,Y,Y,Y,GB,16.894275,3.7237,60.939539,18.795189999999998,21.73086,6.344538,-7.711942,1.9774792270667902,116103693550.88,39773.0,31367.0,12359.0,4653.0,8384.0,14751.0,12.5686813186813,746.0,0.12189491929208085
3,4,Retailing,Specialty Retail,Consumer Discretionary,EES,0.656408775489163,162450.0,6.2778860873775,76.0,,Y,Y,N,ES,11.508646,3.4619910000000003,55.665601,18.26642,17.094170000000002,-7.350181,-14.583070000000001,2.38095240599635,89011581120.0,19621.435,6869.880999999999,9898.347,4020.7340000000004,12675.09,23310.532000000003,11.531303242003698,7.635,0.09924935105711086
4,5,"Food, Beverage & Tobacco",Food Products,Consumer Staples,CHF,0.482876309786366,328000.0,-2.08955223880597,34.5999984741211,27.2000007629395,Y,Y,Y,CH,9.595400999999999,3.013228,57.221441000000006,10.480269999999999,13.7796,12.17451,-0.3874074,2.79533295128377,256068524800.0,131901.0,65920.0,32042.0,13163.0,82870.0,89786.0,0.789151689996969,543.0,0.04523283857985827
5,6,"Food, Beverage & Tobacco",Food Products,Consumer Staples,GBP,0.6661419186061479,132590.0,2.05825302503156,48.0,33.0,Y,Y,Y,GB,16.894275,3.7237,60.939539,20.11102,19.27552,9.040444,-6.5579339999999995,1.49090909090909,21771040032.5,12810.0,4398.0,5190.0,1281.0,7694.0,15357.0,14.613030823195801,57.0,0.11686248816481387
6,7,Capital Goods,Building Products,Industrials,CHF,0.37568187825454796,11592.0,-4.403760514596731,24.0,9.19999980926514,Y,Y,Y,CH,9.595400999999999,3.013228,57.221441000000006,21.287770000000002,17.064970000000002,10.05467,2.637995,2.15982721382289,17150180701.0,3601.1,1965.9,1070.7,640.1,0.0,2809.0,8.3008829085862,11.6,0.08517534723779874
7,8,Software & Services,Software,Information Technology,EDM,0.46297704168581394,84183.0,9.348452965474241,32.0,,Y,Y,Y,DE,7.823563,2.388852,40.318647,18.72801,15.16337,10.143189999999999,3.8478879999999998,1.3531067330591002,113390944305.6,44277.0,17880.0,11564.0,5135.0,22302.0,22062.0,6.103015437887749,222.0,0.06502692637396562
8,9,"Food, Beverage & Tobacco",Beverages,Consumer Staples,EUR,0.966647549773025,200000.0,31.301658996461395,18.0,,Y,Y,Y,BE,12.317879,3.6800900000000003,61.709902,9.272545,16.196379999999998,-4.44557,-4.203046,3.81517579625539,190535672572.28,258381.0,176956.0,43061.0,12882.0,28214.0,45517.0,4.3872121823685895,4092.0,0.023093748104436596
9,10,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo",Consumer Discretionary,EDM,0.836825337371217,60617.0,9.111691116911171,50.0,,Y,Y,Y,DE,7.823563,2.388852,40.318647,28.60101,23.73837,20.10513,3.160273,1.0940919037199102,38244718800.8,15176.0,8721.0,8886.0,1491.0,5521.0,19291.0,14.046704108779199,70.0,0.10403569340750674
