TICKER,NAME,LEI,CIK,LATEST_FILING_DATE
410,SOHO CHINA LTD,,1198537,
682,Chaoda Modern Agriculture (Holdings) Ltd,,1447767,
836,China Resources Power Holdings Co. Ltd. / ADR,,1454472,
1128,Wynn Macau Limited/ADR,,1480134,
1638,Kaisa Group Holdings Ltd/ADR,,1559456,
2777,Guangzhou R&F Properites Co. Ltd.,,1448979,
3308,Golden Eagle Retail Group Ltd,,1447633,
3337,Anton Oilfield Services Group,,1452158,
03KB,DEUTSCHE BANK AKTIENGESELLSCHAFT,,1159508,
104372,MELLON CAPITAL III,,1026184,
153435,TATA POWER CO LTD                                       /FI,,919986,
170228100,CHITTENDEN CORP /VT/,,200138,2007-10-24
2914,Japan Tobacco Inc,,1446664,
34V,Vision-Ease Lens CORP,,1375098,
4197,SIME DARBY BERHAD/FI                                    /FI,,1091632,
5347,TENAGA NASIONAL BERHAD/FI,,928354,
8303,SHINSEI BANK LTD,,1281661,
8304,"AOZORA BANK, LTD.",,1568541,
8750,"Dai-ichi Life Holdings, Inc.",,948518,
9202,ANA Holdings Inc/ADR,,812588,
A,Agilent Technologies Inc,QUIX8Y7A2WP0XRMW7G29,1090872,2017-12-21
AA,Alcoa Corp,ABPN11VOHLHX6QR7XQ48,1675149,2017-10-27
AAAG,VINYL PRODUCTS INC,,1451947,
AAAP,Advanced Accelerator Applications SA,,1611787,
AAAP,Advanced Accelerator Applications SA,,,
AABB,Dong Fang Hui Le Holdings Group Inc,,1287145,
AAC,AAC Holdings Inc,549300DGB1REPZB88Q89,1606180,2017-11-06
AACC,ASSET ACCEPTANCE CAPITAL CORP,,1264707,2013-04-29
AACS,American Commerce Solutions Inc,,949982,2016-06-15
AADG,ASIAN DRAGON GROUP INC.,,1314259,2011-07-20
AADI,"AMERICAN ASSET DEVELOPMENT, INC.",,1076886,2011-03-24
AAEH,All American Energy Holding Inc,,1097945,
AAGC,All American Gold Corp,,1409430,2013-08-06
AAGH,America Great Health,,1098009,2018-02-20
AAGIY,AIA Group Ltd,,1511634,
AAIIQ,"ALABAMA AIRCRAFT INDUSTRIES, INC",,771729,2009-03-31
AAIR,Avantair Inc,,1303849,2013-06-13
AAL,American Airlines Group Inc,,6201,2018-02-21
AAMC,Altisource Asset Management Corp,,1555074,2017-11-07
AAME,Atlantic American Corp,,8177,2017-11-14
AAMUQ,AMERICAN AMMUNITION INC/FL,,1123648,
AAN,Aaron's Inc,,706688,2017-10-27
AAOI,Applied Optoelectronics Inc,,1158114,2017-11-08
AAON,AAON Inc,,824142,2017-11-02
AAP,Advance Auto Parts Inc,,1158449,2017-11-14
AAPC,Atlantic Alliance Partnership Corp,,1630940,2017-11-14
AAPH,American Petro-Hunter Inc,,1040482,2014-04-30
AAPL,Apple Inc,HWUPKR0MPOU8FGXBT394,320193,2018-02-02
AAPT,All American Pet Co Inc,,1362502,2014-03-14
AARS,Asia Atlantic Resources,,1411058,2014-03-18
AASL,America's Suppliers Inc,,1002390,2014-08-11
AASP,All-American Sportpark Inc,,930245,2017-11-14
AAST,Allied American Steel Corp,,1404212,2013-08-19
AAT,American Assets Trust Inc,,1500217,2018-02-16
AATRL,AMG Capital Trust II,,1420348,
AATV,Adaptive Ad Systems Inc,,1131251,
AAU,Almaden Minerals Ltd,,1015647,
AAUI,Andina Group Inc.,,1419260,2011-05-16
AAV,Advantage Oil & Gas Ltd,,1259995,
AAVL,Adverum Biotechnologies Inc,,1501756,2017-11-08
AAWC,Alexandria Advantage Warranty Co,,1165758,
AAWW,Atlas Air Worldwide Holdings Inc,,1135185,2017-11-07
AAXT,"Aamaxan Transport Group, Inc.",,1358940,2008-08-19
AB,AllianceBernstein Holding LP,,825313,2018-02-13
ABAC,Aoxin Tianli Group Inc,,1486299,2017-11-13
ABAX,Abaxis Inc,,881890,2018-02-09
ABB,ABB Ltd,5493000LKVGOO9PELI61,1091587,
ABBB,Auburn Bancorp Inc,,1428802,2012-02-13
ABBV,AbbVie Inc,FR5LCKFTG8054YNNRU85,1551152,2018-02-16
ABBY,Abby Inc,,1478535,2013-10-18
ABC,AmerisourceBergen Corp,AI8GXW8LG5WK7E9UD086,1140859,2018-02-06
ABCB,Ameris Bancorp,PBJHNT51T5V6G5UQFV42,351569,2017-11-09
ABCD,Cambium Learning Group Inc,,1466815,2017-11-14
ABCE,ABCO Energy Inc,,1300938,2017-11-20
ABCO,Advisory Board Co,549300IDOPVLNF25KU43,1157377,2017-11-08
ABCP,AmBase Corp,,20639,2017-11-14
ABCR,ABC Records Management & Data Storage Inc.,,1528234,2013-08-08
ABCW,Anchor BanCorp Wisconsin Inc ,,885322,2016-03-11
ABDC,Alcentra Capital Corp,549300HZBY88PCH8IZ78,1578620,2017-11-07
ABDR,AMBASSADOR FOOD SERVICES CORP,,8734,
ABE,"Aberdeen Emerging Markets Smaller Company Opportunities Fund, Inc",,,
ABEC,Analytica Bio - Energy Corp,,1326853,2014-10-20
ABENU,"Advanced BioEnergy, LLC",,1325740,2018-02-05
ABEO,Abeona Therapeutics Inc,54930002Z8PIJRCB4576,318306,2017-11-14
ABEV,Ambev SA,549300TH5Q6VRP8OT012,1565025,
ABG,Asbury Automotive Group Inc,549300JH4DTA7U42GL91,1144980,2017-10-25
ABGB,Abengoa SA ,8ZQH7RR6DBQZIX8PEQ84,1161785,
ABHD,Abtech Holdings Inc,,1405858,2017-11-14
ABHI,AmbiCom Holdings Inc,,1444310,2016-04-04
ABI,Safety First Trust Series 2009-2,,1449133,
ABIL,Ability Inc,,1652866,
