"","tickers","market_cap"
"1","A",21832220000
"2","AA",9965950000
"24","AAON",1945623672.3
"52","ABCB",1810054600
"53","ABCD",270532720
"94","ABTL",62169000
"140","ACIA",1512856110
"186","ACU",88779600
"197","ADAP",3749082291.5
"259","ADUS",404758800
"277","AEE",14434853000
"335","AFG",9768600000
"372","AGEN",325647854.8
"398","AGR",15669780253.7
"403","AGRX",85912219.3
"416","AGYS",297176000
"427","AHH",865
"431","AHL",2426245038
"441","AHT",641584360
"470","AIRG",91424335.4
"476","AIT",2669928600
"526","ALDW",79
"538","ALGT",2454644500
"611","AMBC",722495494.3
"631","AME",16831374910
"663","AMN",2435166250
"674","AMOT",307538460
"692","AMS",347
"700","AMSWA",351563270
"726","ANCB",722
"746","ANGI",630465830.8
"749","ANIK",814849650
"750","ANIP",752582650
"768","ANTH",18063107.7
"779","AOBC",701783040
"793","AOSL",408345600
"818","APH",27718460000
"837","APO",6445709264.7
"865","APU",4303088400
"866","APVO",91890420.6
"914","ARDM",99562000
"917","ARDX",313264446
"939","ARKR",95442930
"940","ARL",197890000
"941","ARLP",2250488186.3
"960","ARR",1019592240
"984","ARW",7218084060
"1000","ASB",3902633800
"1014","ASFI",51593115
"1045","ASPN",114398136.1
"1056","ASTC",13591
"1057","ASTE",1347196500
"1097","ATHX",207272883.1
"1132","ATRI",1171024200
"1191","AVDL",338979800
"1313","AXTA",7954088000
"1323","AYR",1829553122.6
"1346","AZZ",1327067000
"1347","B",3452686733.8
"1374","BANC",66
"1375","BANF",1628533750.8
"1387","BAS",1753375.7
"1388","BASI",21547750
"1415","BBG",384165728.9
"1416","BBGI",991
"1437","BBSI",485416230
"1438","BBT",40080485280
"1445","BBW",145509638
"1471","BCLI",696
"1499","BDC",3290760310
"1514","BDGE",678335000
"1518","BDL",762
"1594","BFS",1354918500
"1628","BGS",2342524051.5
"1630","BGSF",144689723.2
"1724","BKH",3332017520
"1749","BKU",4304425525.1
"1765","BLDR",2524829090
"1786","BLL",13571344600
"1850","BMS",4344111000
"1899","BOFI",1902432708.8
"1955","BPOP",3607641972.5
"1990","BRK.A",489449642046.6
"2037","BSF",989
"2066","BSTC",316942008
"2150","BWLD",2434696896.9
